ID,COLLECTION,BASE_ID,NAME,TAX_ID,FAMILY,SOURCE,MEDLINE,TYPE,DESCRIPTION,CLASS,CONSENSUS,COMMENT
9230,CORE,MA0002,RUNX1,9606,Runt-related factors,,8413232,SELEX,,Runt domain factors,,Matrix changed since last release: removal of primers and sites overlapping primers
9230,CORE,MA0002,RUNX1,9606,Runt-related factors,,8413232,SELEX,,Runt domain factors,,Matrix changed since last release: removal of primers and sites overlapping primers
9230,CORE,MA0002,RUNX1,9606,Runt-related factors,,8413232,SELEX,,Runt domain factors,,Matrix changed since last release: removal of primers and sites overlapping primers
9230,CORE,MA0002,RUNX1,9606,Runt-related factors,,8413232,SELEX,,Runt domain factors,,Matrix changed since last release: removal of primers and sites overlapping primers
9230,CORE,MA0002,RUNX1,9606,Runt-related factors,,8413232,SELEX,,Runt domain factors,,Matrix changed since last release: removal of primers and sites overlapping primers
9230,CORE,MA0002,RUNX1,9606,Runt-related factors,,8413232,SELEX,,Runt domain factors,,Matrix changed since last release: removal of primers and sites overlapping primers
9230,CORE,MA0002,RUNX1,9606,Runt-related factors,,8413232,SELEX,,Runt domain factors,,Matrix changed since last release: removal of primers and sites overlapping primers
9231,CORE,MA0003,TFAP2A,9606,AP-2,,16420676,SELEX,,Basic helix-span-helix factors (bHSH),,
9231,CORE,MA0003,TFAP2A,9606,AP-2,,16420676,SELEX,,Basic helix-span-helix factors (bHSH),,
9231,CORE,MA0003,TFAP2A,9606,AP-2,,16420676,SELEX,,Basic helix-span-helix factors (bHSH),,
9231,CORE,MA0003,TFAP2A,9606,AP-2,,16420676,SELEX,,Basic helix-span-helix factors (bHSH),,
9231,CORE,MA0003,TFAP2A,9606,AP-2,,16420676,SELEX,,Basic helix-span-helix factors (bHSH),,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9245,CORE,MA0017,NR2F1,9606,RXR-related receptors (NR2),,8496174,COMPILED,"nuclear receptor subfamily 2,group F,member 1",Nuclear receptors with C4 zinc fingers,,
9246,CORE,MA0018,CREB1,9606,CREB-related factors,,8264613,SELEX,,Basic leucine zipper factors (bZIP),,
9246,CORE,MA0018,CREB1,9606,CREB-related factors,,8264613,SELEX,,Basic leucine zipper factors (bZIP),,
9246,CORE,MA0018,CREB1,9606,CREB-related factors,,8264613,SELEX,,Basic leucine zipper factors (bZIP),,
